month;GPR;SHARE_GPR;N10;GPRC_ARG;GPRC_AUS;GPRC_BEL;GPRC_BRA;GPRC_CAN;GPRC_CHE;GPRC_CHL;GPRC_CHN;GPRC_COL;GPRC_DEU;GPRC_DNK;GPRC_EGY;GPRC_ESP;GPRC_FIN;GPRC_FRA;GPRC_GBR;GPRC_HKG;GPRC_HUN;GPRC_IDN;GPRC_IND;GPRC_ISR;GPRC_ITA;GPRC_JPN;GPRC_KOR;GPRC_MEX;GPRC_MYS;GPRC_NLD;GPRC_NOR;GPRC_PER;GPRC_PHL;GPRC_POL;GPRC_PRT;GPRC_RUS;GPRC_SAU;GPRC_SWE;GPRC_THA;GPRC_TUN;GPRC_TUR;GPRC_TWN;GPRC_UKR;GPRC_USA;GPRC_VEN;GPRC_VNM;GPRC_ZAF;;;;;
01/02/1997;50,56;1,52;27234;0,02;0,02;0,11;0,01;0,14;0,04;0,01;0,21;0,05;0,15;0,01;0,05;0,16;0,04;0,21;0,57;0,04;0,08;0,05;0,07;0,15;0,06;0,23;0,14;0,08;0,03;0,03;0,04;0,14;0,02;0,12;0,02;0,36;0,05;0,02;0,07;0,00;0,08;0,05;0,06;1,05;0,01;0,00;0,09;;;;;37,16884962
01/03/1997;58,48;1,75;30558;0,01;0,05;0,12;0,02;0,15;0,03;0,01;0,19;0,05;0,20;0,03;0,07;0,13;0,18;0,29;0,59;0,05;0,10;0,02;0,07;0,26;0,16;0,16;0,07;0,08;0,01;0,08;0,04;0,11;0,01;0,11;0,02;0,36;0,08;0,02;0,01;0,01;0,07;0,03;0,06;1,15;0,00;0,00;0,09;;;;;34,24607327
01/04/1997;62,84;1,88;29656;0,05;0,05;0,07;0,04;0,16;0,03;0,04;0,27;0,03;0,23;0,03;0,10;0,12;0,01;0,33;0,71;0,06;0,02;0,02;0,06;0,25;0,17;0,32;0,17;0,05;0,01;0,05;0,06;0,22;0,02;0,04;0,02;0,30;0,11;0,03;0,05;0,02;0,07;0,04;0,02;1,30;0,01;0,01;0,11;;;;;49,18650342
01/05/1997;53,58;1,61;30617;0,01;0,02;0,12;0,02;0,08;0,03;0,01;0,20;0,02;0,17;0,02;0,03;0,12;0,03;0,35;0,56;0,08;0,08;0,05;0,08;0,12;0,08;0,12;0,09;0,06;0,01;0,04;0,02;0,07;0,01;0,11;0,05;0,36;0,05;0,03;0,02;0,01;0,15;0,03;0,06;1,10;0,01;0,01;0,13;;;;;35,82564747
01/06/1997;39,05;1,17;29288;0,00;0,02;0,03;0,01;0,07;0,02;0,00;0,18;0,02;0,12;0,02;0,03;0,04;0,01;0,18;0,49;0,08;0,02;0,04;0,04;0,11;0,09;0,08;0,05;0,03;0,02;0,06;0,00;0,01;0,01;0,04;0,03;0,20;0,06;0,02;0,02;0,00;0,08;0,03;0,01;0,75;0,00;0,01;0,04;;;;;33,09115533
01/07/1997;47,70;1,43;29427;0,01;0,06;0,06;0,02;0,13;0,01;0,01;0,18;0,08;0,12;0,01;0,06;0,17;0,01;0,26;0,68;0,04;0,04;0,06;0,05;0,18;0,05;0,15;0,06;0,03;0,04;0,03;0,05;0,03;0,01;0,05;0,02;0,23;0,05;0,00;0,05;0,00;0,06;0,05;0,02;0,91;0,01;0,02;0,03;;;;;32,8699709
01/08/1997;48,58;1,46;28823;0,01;0,02;0,03;0,03;0,10;0,03;0,03;0,14;0,03;0,10;0,01;0,11;0,03;0,02;0,20;0,53;0,01;0,01;0,03;0,05;0,44;0,04;0,10;0,12;0,05;0,03;0,04;0,08;0,01;0,01;0,03;0,03;0,23;0,05;0,03;0,04;0,00;0,05;0,01;0,00;1,05;0,01;0,00;0,07;;;;;24,80908123
01/09/1997;42,69;1,28;30459;0,01;0,02;0,05;0,02;0,09;0,02;0,01;0,15;0,04;0,08;0,01;0,08;0,05;0,04;0,23;0,47;0,02;0,02;0,03;0,07;0,27;0,04;0,09;0,09;0,07;0,05;0,03;0,14;0,01;0,02;0,04;0,00;0,24;0,05;0,02;0,03;0,00;0,05;0,03;0,01;0,86;0,01;0,01;0,05;;;;;27,52353207
01/10/1997;49,75;1,49;32840;0,04;0,09;0,04;0,05;0,17;0,03;0,04;0,29;0,08;0,09;0,00;0,11;0,04;0,02;0,37;0,64;0,02;0,02;0,03;0,08;0,14;0,05;0,12;0,07;0,05;0,09;0,05;0,02;0,03;0,02;0,03;0,02;0,39;0,05;0,02;0,02;0,02;0,09;0,05;0,01;1,07;0,02;0,01;0,07;;;;;51,48807289
01/11/1997;59,69;1,79;30272;0,07;0,17;0,04;0,03;0,16;0,06;0,04;0,42;0,02;0,13;0,01;0,30;0,05;0,02;0,66;0,79;0,01;0,01;0,04;0,11;0,31;0,03;0,09;0,07;0,07;0,03;0,04;0,04;0,01;0,01;0,03;0,02;0,77;0,19;0,10;0,03;0,01;0,11;0,03;0,03;1,49;0,00;0,01;0,02;;;;;75,14958557
