date,eui,gpr,cpu,oil_price,log_eui,log_gpr,log_cpu,log_oil_price,d_eui,dlog_eui,d_cpu,dlog_cpu,d_oil_price,dlog_oil_price,COVID_WINDOW_2020_03_11_2023_05_05,RU_UA_WAR_PULSE_2022_02_24,FUKUSHIMA_PULSE_2011_03_11,GFC_WINDOW_2007_12_01_2009_06_30,PARIS_COP21_PULSE_2015_12_12,SEP11_PULSE_2001_09_11
1996-01-01,0.35823236,75.63492584228516,132.7487274,17.85,-1.026573452844143,4.3259181585454485,4.88845807363542,2.8820035082256483,,,,,,,0,0,0,0,0,0
1996-02-01,0.373171832,80.4209213256836,105.2608273,18.0,-0.9857162898135329,4.387274357828319,4.656441339480534,2.8903717578961645,0.014939471999999954,0.040857163030610155,-27.487900100000004,-0.232016734154886,0.14999999999999858,0.008368249670516192,0,0,0,0,0,0
1996-03-01,0.203097905,82.14761352539062,79.18070109,19.85,-1.5940671255647059,4.408517793853042,4.371732596021205,2.9882040071331994,-0.17007392699999999,-0.608350835751173,-26.080126210000003,-0.28470874345932984,1.8500000000000014,0.09783224923703493,0,0,0,0,0,0
1996-04-01,0.317945301,84.82862091064453,59.56206223,20.9,-1.1458759204312419,4.440632996592653,4.087018831628755,3.039749158970765,0.11484739600000002,0.448191205133464,-19.618638859999997,-0.2847137643924498,1.0499999999999972,0.051545151837565584,0,0,0,0,0,0
1996-05-01,0.711227613,65.53082275390625,39.14062092,19.15,-0.34076276960814,4.182520608350372,3.667160825919767,2.952302715626655,0.393282312,0.8051131508231019,-20.42144131,-0.41985800570898757,-1.75,-0.08744644334411023,0,0,0,0,0,0
1996-06-01,0.086114468,69.08858489990234,57.74412735,18.46,-2.452077844499029,4.235389520309505,4.056021653321941,2.9156062290747062,-0.625113145,-2.111315074890889,18.603506429999996,0.38886082740217365,-0.6899999999999977,-0.03669648655194857,0,0,0,0,0,0
1996-07-01,0.441029685,80.64431762695312,48.20604973,19.57,-0.8186430928755343,4.390048344890643,3.8754845262509874,2.9739977814079848,0.354915217,1.6334347516234948,-9.538077620000003,-0.18053712707095348,1.1099999999999994,0.05839155233327853,0,0,0,0,0,0
1996-08-01,0.267349214,81.6876449584961,54.2533235,20.51,-1.3191995575580544,4.4029027659321684,3.993664253216899,3.0209125720842893,-0.173680471,-0.5005564646825201,6.047273770000004,0.1181797269659115,0.9400000000000013,0.04691479067630455,0,0,0,0,0,0
1996-09-01,0.316085142,88.19697570800781,76.75990615,22.63,-1.1517436649779156,4.479572673400009,4.340682448496751,3.119276459645446,0.048735927999999984,0.16745589258013882,22.506582650000006,0.3470181952798521,2.1199999999999974,0.09836388756115655,0,0,0,0,0,0
1996-10-01,0.243469087,55.58683013916016,50.23500091,24.16,-1.4127652972907518,4.017946305198165,3.9167120130291377,3.184698373066614,-0.07261605499999998,-0.26102163231283626,-26.52490524000001,-0.42397043546761326,1.5300000000000011,0.06542191342116821,0,0,0,0,0,0
1996-11-01,0.37527501,57.34461212158203,52.28157229,22.76,-0.9800961617887721,4.049078891848751,3.9566439627108343,3.1250046092581303,0.13180592300000002,0.4326691355019797,2.046571380000003,0.039931949681696555,-1.3999999999999986,-0.05969376380848379,0,0,0,0,0,0
1996-12-01,0.076426743,74.98263549804688,47.86485729,23.78,-2.571422604792098,4.317256560037159,3.8683815668833734,3.1688448912626357,-0.298848267,-1.5913264430033256,-4.416714999999996,-0.08826239582746087,1.0199999999999996,0.043840282004505404,0,0,0,0,0,0
