date,cpu_index,old_cpu_index
1987-04-01,43.58906871,
1987-05-01,41.86202181,
1987-06-01,71.1352029,
1987-07-01,53.75670371,
1987-08-01,60.61554514,
1987-09-01,57.88076639,
1987-10-01,58.92720586,
1987-11-01,70.1623314,
1987-12-01,79.0732246,
1988-01-01,68.949603,
1988-02-01,42.88876556,
1988-03-01,37.20414761,
1988-04-01,64.98269318,
1988-05-01,72.29643829,
1988-06-01,35.55908775,
1988-07-01,66.50115022,
1988-08-01,62.91007371,
1988-09-01,93.55977855,
1988-10-01,104.6648651,
1988-11-01,80.27983195,
1988-12-01,58.87251755,
1989-01-01,93.70924661,
1989-02-01,59.43549764,
1989-03-01,97.27707597,
1989-04-01,68.3210388,
1989-05-01,80.29579086,
1989-06-01,91.09046514,
1989-07-01,87.16950599,
1989-08-01,59.38493511,
1989-09-01,65.74209805,
1989-10-01,66.14146123,
1989-11-01,63.14727904,
1989-12-01,88.65142295,
1990-01-01,57.68139194,
1990-02-01,135.3882642,
1990-03-01,112.2548394,
1990-04-01,114.7049692,
1990-05-01,93.40738171,
1990-06-01,77.17377556,
1990-07-01,73.05160112,
1990-08-01,86.59016275,
1990-09-01,109.8611579,
1990-10-01,109.1470024,
1990-11-01,89.98737487,
1990-12-01,78.10853976,
1991-01-01,101.2112424,
1991-02-01,102.6830436,
1991-03-01,50.00217218,
1991-04-01,72.8800621,
1991-05-01,89.25168194,
1991-06-01,62.92503972,
1991-07-01,70.78417249,
1991-08-01,78.03001884,
1991-09-01,98.48228487,
1991-10-01,71.06162974,
1991-11-01,100.173505,
1991-12-01,71.47456089,
1992-01-01,76.19330448,
1992-02-01,94.72012984,
1992-03-01,109.7978329,
1992-04-01,64.41353713,
1992-05-01,83.04570975,
1992-06-01,138.2964258,
1992-07-01,66.04099825,
1992-08-01,78.54712771,
1992-09-01,62.69288143,
1992-10-01,109.1132381,
1992-11-01,101.0553378,
1992-12-01,75.6487408,
1993-01-01,82.80039865,
1993-02-01,74.9197863,
1993-03-01,89.10625837,
1993-04-01,51.20789014,
1993-05-01,115.6417369,
1993-06-01,75.33425845,
1993-07-01,77.12703016,
1993-08-01,85.67183108,
1993-09-01,97.33562376,
1993-10-01,65.38780072,
1993-11-01,81.14850313,
1993-12-01,50.92391328,
1994-01-01,56.73308669,
1994-02-01,70.78902113,
1994-03-01,55.44948697,
1994-04-01,89.29428079,
1994-05-01,71.07402245,
1994-06-01,84.28756081,
1994-07-01,61.46917025,
1994-08-01,64.80002867,
1994-09-01,73.40136636,
1994-10-01,48.87182371,
1994-11-01,90.78699975,
1994-12-01,75.16060254,
1995-01-01,104.8054461,
1995-02-01,100.3078962,
1995-03-01,102.9525874,
1995-04-01,75.64385944,
1995-05-01,89.8926885,
1995-06-01,85.68334843,
1995-07-01,94.78712403,
1995-08-01,44.61908403,
1995-09-01,62.83386117,
1995-10-01,49.92660085,
1995-11-01,119.309844,
1995-12-01,76.90929189,
1996-01-01,132.7487274,
1996-02-01,105.2608273,
1996-03-01,79.18070109,
1996-04-01,59.56206223,
1996-05-01,39.14062092,
1996-06-01,57.74412735,
1996-07-01,48.20604973,
1996-08-01,54.2533235,
1996-09-01,76.75990615,
1996-10-01,50.23500091,
1996-11-01,52.28157229,
1996-12-01,47.86485729,
1997-01-01,48.69730058,
1997-02-01,52.40921696,
1997-03-01,47.70801379,
1997-04-01,53.87316218,
1997-05-01,57.58915927,
1997-06-01,77.13108765,
1997-07-01,66.57702463,
1997-08-01,41.72290989,
1997-09-01,50.85333809,
1997-10-01,87.14869281,
1997-11-01,61.45184037,
1997-12-01,79.50499088,
1998-01-01,33.95765115,
1998-02-01,38.54575329,
1998-03-01,54.96350416,
1998-04-01,72.0244442,
1998-05-01,44.80914641,
1998-06-01,57.36352036,
1998-07-01,48.35392835,
1998-08-01,67.12760936,
1998-09-01,75.74855521,
1998-10-01,80.45265361,
1998-11-01,64.06718602,
1998-12-01,53.36491886,
1999-01-01,74.13790557,
1999-02-01,55.12147966,
1999-03-01,94.39361171,
1999-04-01,73.2387762,
1999-05-01,36.90790935,
1999-06-01,51.39378531,
1999-07-01,53.04863344,
1999-08-01,42.61270724,
1999-09-01,48.70340389,
1999-10-01,44.88894739,
1999-11-01,48.6570554,
1999-12-01,81.87298677,
2000-01-01,68.31159087,28.98
2000-02-01,46.02471835,20.92
2000-03-01,35.05368162,16.26
2000-04-01,47.90848398,1.23
2000-05-01,63.21925829,8.72
2000-06-01,75.55926217,59.04
2000-07-01,40.69510219,14.59
2000-08-01,55.14588067,40.22
2000-09-01,71.03655763,31.25
2000-10-01,70.58561769,12.49
2000-11-01,109.5600241,33.07
2000-12-01,66.28478324,34.53
2001-01-01,100.4816768,88.51
2001-02-01,90.9684846,47.68
2001-03-01,93.88492055,81.74
2001-04-01,90.85312226,88.29
2001-05-01,108.0645824,111.62
2001-06-01,113.7365429,207.95
2001-07-01,92.44396622,100.06
2001-08-01,73.273651,19.12
2001-09-01,104.0768634,29.34
2001-10-01,100.3506418,5.02
2001-11-01,79.42252081,31.38
2001-12-01,76.21255298,32.74
2002-01-01,64.90589125,36.06
2002-02-01,110.4691031,68.74
2002-03-01,62.49144113,21.35
2002-04-01,93.90980592,19.04
2002-05-01,59.36087039,23.91
2002-06-01,105.1377443,70.37
2002-07-01,89.29076438,30.59
2002-08-01,126.9246319,13.73
2002-09-01,100.9248128,40.11
2002-10-01,102.8782854,10.98
2002-11-01,58.90880378,42.9
2002-12-01,84.16593885,41.3
2003-01-01,84.1561725,30.67
2003-02-01,76.86654288,5.68
2003-03-01,86.26357192,17.17
2003-04-01,62.89947717,42.11
2003-05-01,70.57107226,39.37
2003-06-01,67.13287061,40.7
2003-07-01,56.13459607,34.8
2003-08-01,69.99804211,39.11
2003-09-01,60.61973696,12.38
2003-10-01,50.96979809,7.74
2003-11-01,59.83214537,24.68
2003-12-01,68.71494404,53.01
2004-01-01,38.61809795,48.94
2004-02-01,67.40422286,37.15
2004-03-01,82.45697345,13.5
2004-04-01,43.6560779,21.9
2004-05-01,75.73579285,31.25
2004-06-01,76.40351578,35.38
2004-07-01,64.87805109,21.58
2004-08-01,44.4551359,41.4
2004-09-01,57.56079751,19.06
2004-10-01,106.964105,39.77
2004-11-01,61.64114862,54.78
2004-12-01,62.72790324,15.34
2005-01-01,66.64796341,23.9
2005-02-01,66.01685432,23.99
2005-03-01,63.7167658,36.88
2005-04-01,57.15721314,15.28
2005-05-01,56.46791712,4.43
2005-06-01,72.70385309,113.93
2005-07-01,94.03488199,50.18
2005-08-01,49.40855967,17.78
2005-09-01,106.6390575,44.24
2005-10-01,47.23708926,22.95
2005-11-01,38.17054774,19.92
2005-12-01,74.25979964,57.48
2006-01-01,35.13993325,31.01
2006-02-01,50.27802138,40.15
2006-03-01,52.31544467,35.94
2006-04-01,66.08489137,61.34
2006-05-01,73.70336115,56.97
2006-06-01,154.3690114,111.63
2006-07-01,28.16192749,61.66
2006-08-01,54.90004867,7.06
2006-09-01,39.54087432,7.96
2006-10-01,68.82703309,60.06
2006-11-01,108.0276738,129.35
2006-12-01,78.90933271,137.79
2007-01-01,144.0540974,176.91
2007-02-01,103.0612095,157.74
2007-03-01,144.2987446,156.06
2007-04-01,95.45865419,140.24
2007-05-01,73.13173818,130.34
2007-06-01,139.3785174,166.16
2007-07-01,95.55404747,38.18
2007-08-01,58.33753402,67.17
2007-09-01,78.43022502,120.62
2007-10-01,88.06308914,97.74
2007-11-01,110.1625404,109.03
2007-12-01,163.2573241,293.73
2008-01-01,94.64850879,105.78
2008-02-01,96.94351639,96.44
2008-03-01,55.12816288,61.98
2008-04-01,93.90177954,163.55
2008-05-01,85.66721683,107.29
2008-06-01,77.59509203,110.57
2008-07-01,109.0399252,184.06
2008-08-01,90.8978408,104.02
2008-09-01,100.1195376,110.09
2008-10-01,132.771247,133.45
2008-11-01,103.917627,131.96
2008-12-01,124.9957876,121.42
2009-01-01,104.2598946,125.93
2009-02-01,149.8963892,225.92
2009-03-01,128.8941015,143.8
2009-04-01,84.95848139,105.16
2009-05-01,87.87758408,83.73
2009-06-01,88.24678604,117.87
2009-07-01,71.64657962,112.78
2009-08-01,77.37370337,91.88
2009-09-01,97.78104702,118.27
2009-10-01,95.41781309,108.86
2009-11-01,94.59573833,129.48
2009-12-01,108.599606,240.6
2010-01-01,110.484442,182.71
2010-02-01,62.89395715,104.32
2010-03-01,78.89089656,75.35
2010-04-01,106.3566412,119.41
2010-05-01,160.3571125,87.88
2010-06-01,133.244876,87.43
2010-07-01,101.4714332,121.03
2010-08-01,117.5594535,83.01
2010-09-01,130.1349564,116.33
2010-10-01,111.2400513,96.35
2010-11-01,136.9150292,143.09
2010-12-01,101.3182573,49.48
2011-01-01,127.3389565,90.7
2011-02-01,98.93989728,64.26
2011-03-01,158.3348152,106.51
2011-04-01,156.5996617,87.35
2011-05-01,91.33076941,84.4
2011-06-01,59.11603107,90.63
2011-07-01,91.92938524,67.43
2011-08-01,110.5044995,31.82
2011-09-01,146.1423927,214.23
2011-10-01,119.1632996,74.09
2011-11-01,99.35573803,109.32
2011-12-01,116.1878298,76.31
2012-01-01,80.74488538,68.8
2012-02-01,112.6796531,56.86
2012-03-01,63.93076739,31.45
2012-04-01,73.02971107,32.64
2012-05-01,117.7498969,24.11
2012-06-01,111.2162288,74.17
2012-07-01,108.9114695,59.02
2012-08-01,119.2321322,83.16
2012-09-01,91.57525933,91.43
2012-10-01,83.92417188,87.26
2012-11-01,146.0921831,126.47
2012-12-01,92.05358948,64.37
2013-01-01,103.7850054,118.53
2013-02-01,66.40136197,25.14
2013-03-01,58.07249263,36.75
2013-04-01,93.14080833,70.78
2013-05-01,38.09209394,22.71
2013-06-01,68.2699011,65.5
2013-07-01,101.9347457,58.18
2013-08-01,50.58586036,11.78
2013-09-01,106.1156416,95.77
2013-10-01,100.5703927,98.58
2013-11-01,43.91390436,39.82
2013-12-01,99.90745339,68.49
2014-01-01,82.38285245,67.63
2014-02-01,104.5889229,95.92
2014-03-01,60.8667026,62.91
2014-04-01,87.16055423,86.5
2014-05-01,88.98038157,162.75
2014-06-01,72.20944563,90.9
2014-07-01,63.40941328,50.27
2014-08-01,96.42634615,62.79
2014-09-01,78.26364072,60.52
2014-10-01,54.67273781,45.52
2014-11-01,131.020044,165.87
2014-12-01,78.02819956,61.58
2015-01-01,103.8572101,66.31
2015-02-01,89.55959068,45.86
2015-03-01,80.16962581,43.8
2015-04-01,104.3895228,28.32
2015-05-01,125.8811864,88.89
2015-06-01,58.1676658,58.88
2015-07-01,52.34319462,31.03
2015-08-01,71.64043044,59.96
2015-09-01,104.818745,105.46
2015-10-01,82.56443505,135.23
2015-11-01,100.6703263,190.28
2015-12-01,137.3122441,163.66
2016-01-01,91.40321325,139.61
2016-02-01,49.12534465,37.72
2016-03-01,87.95350804,60.36
2016-04-01,108.1190625,118.23
2016-05-01,99.83579694,91.72
2016-06-01,120.3796358,93.84
2016-07-01,101.1825344,75.65
2016-08-01,77.09684887,91.67
2016-09-01,107.3175953,107.86
2016-10-01,104.6382294,87.51
2016-11-01,277.9767331,297.41
2016-12-01,223.5604902,296.74
2017-01-01,249.4481416,363.4
2017-02-01,247.5635413,181.28
2017-03-01,208.660623,247.83
2017-04-01,162.8100619,202.09
2017-05-01,188.2838042,170.26
2017-06-01,201.6878786,263.1
2017-07-01,150.6200572,186.36
2017-08-01,125.4631782,173.71
2017-09-01,102.3736787,151.62
2017-10-01,107.9960189,133.2
2017-11-01,150.3878823,221.65
2017-12-01,141.8917263,104.52
2018-01-01,120.6551214,92.65
2018-02-01,117.812332,52.6
2018-03-01,149.7899075,76.87
2018-04-01,171.0598216,148.38
2018-05-01,175.2114079,91.87
2018-06-01,150.5158108,94.04
2018-07-01,196.5221071,90.34
2018-08-01,143.6970221,123.58
2018-09-01,79.47310311,47.82
2018-10-01,103.7215692,111.89
2018-11-01,156.1780515,176.67
2018-12-01,154.8508354,103.59
2019-01-01,211.221614,185.25
2019-02-01,263.6796844,185.08
2019-03-01,165.9910569,187.66
2019-04-01,94.5296649,83.42
2019-05-01,116.1994316,140.1
2019-06-01,173.196342,137.02
2019-07-01,131.1424573,95.56
2019-08-01,188.6663965,140.97
2019-09-01,346.612379,629.02
2019-10-01,199.8493538,164.76
2019-11-01,170.0483914,157.05
2019-12-01,242.8845589,264.05
2020-01-01,209.3470847,268.8
2020-02-01,205.0062418,215.66
2020-03-01,276.603415,316.62
2020-04-01,245.285638,390.78
2020-05-01,221.9758722,177.38
2020-06-01,138.3028987,174.99
2020-07-01,133.1777329,224.2
2020-08-01,202.7847937,204.27
2020-09-01,184.3543472,217.45
2020-10-01,272.16406,340.73
2020-11-01,234.7634116,354.7
2020-12-01,299.8446191,378.94
2021-01-01,180.8233972,261.52
2021-02-01,207.0713994,257.23
2021-03-01,145.2818833,181.23
2021-04-01,103.877858,121.45
2021-05-01,167.901495,126.32
2021-06-01,176.7582079,145.76
2021-07-01,244.3479261,113.71
2021-08-01,95.08021794,143.07
2021-09-01,326.1647915,197.78
2021-10-01,259.7489046,190.33
2021-11-01,411.2888056,383.52
2021-12-01,266.2633128,195.49
2022-01-01,209.0009394,
2022-02-01,221.277325,
2022-03-01,229.6155689,
2022-04-01,225.9682532,
2022-05-01,235.5590969,
2022-06-01,189.2958277,
2022-07-01,336.7758492,
2022-08-01,255.6456167,
2022-09-01,178.5962387,
2022-10-01,204.4393112,
2022-11-01,220.3033416,
2022-12-01,198.4815688,
2023-01-01,213.5660193,
2023-02-01,242.0564097,
2023-03-01,287.5295264,
2023-04-01,226.2019158,
2023-05-01,227.9405454,
2023-06-01,218.04583,
2023-07-01,231.7006585,
2023-08-01,153.4179509,
2023-09-01,213.5992835,
2023-10-01,150.6063625,
2023-11-01,249.2877564,
2023-12-01,240.1197379,
2024-01-01,163.9665305,
2024-02-01,197.2637171,
2024-03-01,223.0533063,
2024-04-01,160.574161,
2024-05-01,241.9868018,
2024-06-01,199.287765,
2024-07-01,168.3230162,
2024-08-01,302.7487637,
2024-09-01,155.063845,
2024-10-01,248.1489844,
2024-11-01,422.1868099,
2024-12-01,293.3296116,
2025-01-01,387.5408627,
2025-02-01,461.0300373,
2025-03-01,539.3701473,
2025-04-01,593.2664415,
2025-05-01,562.0558308,
2025-06-01,369.731745,
2025-07-01,527.7726547,
2025-08-01,419.1167995,
2025-09-01,336.5133313,
